0.255,291.2
0.26,329.0
0.265,468.8
0.27,400.1
0.275,271.5
0.28,256.0
0.285,253.2
0.29,296.2
0.295,240.5
0.3,266.8
0.305,341.7
0.31,239.1
0.315,298.2
0.32,292.4
0.325,266.1
0.33,263.5
0.335,276.6
0.34,332.0
0.345,274.3
0.35,280.9
0.355,249.1
0.36,239.1
0.365,256.9
0.37,252.7
0.375,247.9
0.38,327.8
0.385,299.3
0.39,336.4
0.395,315.2
0.4,276.1
0.405,261.8
0.41,255.2
0.415,328.1
0.42,372.3
0.425,308.7
0.43,326.8
0.435,346.9
0.44,241.8
0.445,239.3
0.45,273.7
0.455,280.5
0.46,260.8
0.465,253.3
0.47,237.3
0.475,251.2
0.48,239.8
0.485,253.8
0.49,252.4
0.495,254.9
0.5,239.4
