0.255,130.7
0.26,120.6
0.265,120.3
0.27,129.8
0.275,138.2
0.28,121.8
0.285,117.4
0.29,118.3
0.295,124.0
0.3,123.8
0.305,129.3
0.31,134.7
0.315,132.5
0.32,128.6
0.325,121.6
0.33,122.4
0.335,120.0
0.34,117.3
0.345,117.4
0.35,118.8
0.355,117.4
0.36,120.0
0.365,118.2
0.37,119.9
0.375,119.6
0.38,123.3
0.385,114.8
0.39,123.7
0.395,125.5
0.4,117.2
0.405,117.8
0.41,129.5
0.415,149.3
0.42,173.3
0.425,220.0
0.43,354.6
0.435,412.0
0.44,374.0
0.445,407.2
0.45,265.8
0.455,144.8
0.46,239.3
0.465,203.5
0.47,133.8
0.475,131.4
0.48,169.0
0.485,136.7
0.49,123.4
0.495,126.1
0.5,118.7
