0.255,190.5
0.26,174.4
0.265,152.5
0.27,147.8
0.275,158.1
0.28,154.5
0.285,147.9
0.29,182.5
0.295,155.7
0.3,154.8
0.305,163.9
0.31,156.3
0.315,153.0
0.32,160.0
0.325,153.1
0.33,148.8
0.335,150.7
0.34,153.3
0.345,146.2
0.35,163.9
0.355,155.8
0.36,197.9
0.365,174.9
0.37,152.3
0.375,155.5
0.38,158.3
0.385,159.1
0.39,155.0
0.395,219.7
0.4,181.9
0.405,146.4
0.41,167.8
0.415,186.8
0.42,157.0
0.425,156.8
0.43,154.9
0.435,176.8
0.44,151.9
0.445,145.8
0.45,157.4
0.455,160.3
0.46,149.5
0.465,143.5
0.47,155.8
0.475,177.0
0.48,160.0
0.485,150.1
0.49,167.8
0.495,240.0
0.5,219.1
